Description,,Summary Amt.
Beginning balance as of 05/09/2023,,"6,960.44"
Total credits,,"7,903.44"
Total debits,,"-14,083.94"
Ending balance as of 05/09/2024,,"779.94"

Date,Description,Amount,Running Bal.
10/23/2023,"AMZN DIGITAL*VR3F 10/21 PURCHASE XXXXX61072 WA","-21.66","7,069.75"
10/24/2023,"BA LE RESTAURANT 10/22 PURCHASE ARLINGTON TX","-7.80","7,061.95"
10/26/2023,"Upside DES:Upside ID: I9XK7VLPG INDN:Vincent Tran CO ID:XXXXX0567 PPD","14.28","7,076.23"
10/27/2023,"Zara.com 10/25 PURCHASE XXXXX51415 NY","-103.71","6,972.52"
10/27/2023,"WAL Wal-Mart S 10/27 PURCHASE ARLINGTON TX","-29.21","6,943.31"
10/30/2023,"7-ELEVEN 38324 10/28 PURCHASE ARLINGTON TX","-32.19","6,911.12"
10/31/2023,"MCDONALD'S F945 10/30 MOBILE PURCHASE ARLINGTON TX","-10.25","6,900.87"
11/06/2023,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB","-5,000.00","1,900.87"
11/06/2023,"DISCOVER BANK DES:SECUR DPST ID:3186 INDN:XXXXXXXXXX58950WEB6 CO ID:XXXXX20270 WEB","-200.00","1,700.87"
11/07/2023,"MCDONALD'S F945 11/06 MOBILE PURCHASE ARLINGTON TX","-7.98","1,692.89"
11/09/2023,"WAL Wal-Mart S 11/09 PURCHASE ARLINGTON TX","-4.85","1,688.04"
11/13/2023,"AMZN DIGITAL*OG00 11/11 PURCHASE XXXXX61072 WA","-21.66","1,666.38"
11/14/2023,"Zelle payment to Tien Le Conf# hv4ohanel","-33.00","1,633.38"
11/20/2023,"AMZN DIGITAL*1F9Q 11/18 PURCHASE XXXXX61072 WA","-21.66","1,611.72"
11/21/2023,"APPLE.COM/BILL 11/21 PURCHASE XXXXX27753 CA","-0.99","1,610.73"
11/28/2023,"Upside DES:Upside ID: IEV6E6KPV INDN:Vincent Tran CO ID:XXXXX0567 PPD","27.60","1,638.33"
12/01/2023,"BON K BBQ 11/29 PURCHASE ARLINGTON TX","-22.56","1,615.77"
12/04/2023,"WL *STEAM PURCHAS 12/01 PURCHASE XXXXX99642 WA","-10.81","1,604.96"
12/04/2023,"AMZN DIGITAL*0H52 12/02 PURCHASE XXXXX61072 WA","-21.66","1,583.30"
12/04/2023,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-29.54","1,553.76"
12/11/2023,"AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA","-21.66","1,532.10"
12/19/2023,"ORACL*WAFFLE HOUS 12/19 MOBILE PURCHASE Arlington TX","-11.75","1,520.35"
12/20/2023,"WM SUPERCENTER 12/20 PURCHASE ARLINGTON TX","-12.73","1,507.62"
12/21/2023,"APPLE.COM/BILL 12/21 PURCHASE XXXXX27753 CA","-0.99","1,506.63"
12/21/2023,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-26.58","1,480.05"
12/22/2023,"WHATABURGER 563 12/20 MOBILE PURCHASE ARLINGTON TX","-10.27","1,469.78"
01/09/2024,"MUSINSA 01/09 PURCHASE Tokyo 00","-43.00","1,426.78"
01/10/2024,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX66757 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","1,105.75","2,532.53"
01/16/2024,"Zelle payment from JASON NGUYEN Conf# b1wf7jd15","10.00","2,542.53"
01/16/2024,"AMZN DIGITAL*RT4T 01/13 PURCHASE XXXXX61072 WA","-21.66","2,520.87"
01/17/2024,"MCDONALD'S F945 01/16 PURCHASE ARLINGTON TX","-7.33","2,513.54"
01/17/2024,"EDFINITY.COM 01/17 PURCHASE XXXXX46291 CA","-29.00","2,484.54"
01/22/2024,"APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA","-0.99","2,483.55"
01/22/2024,"AMZN DIGITAL*R08F 01/20 PURCHASE XXXXX61072 WA","-21.66","2,461.89"
01/23/2024,"MCDONALD'S F945 01/22 MOBILE PURCHASE ARLINGTON TX","-8.63","2,453.26"
01/23/2024,"QT 880 01/22 MOBILE PURCHASE ARLINGTON TX","-32.40","2,420.86"
01/23/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-17.13","2,403.73"
01/24/2024,"APPLE COM BILL 01/24 PURCHASE CUPERTINO CA","-10.81","2,392.92"
01/29/2024,"TACO BELL 735428 01/26 PURCHASE XXXXX78042 TX","-5.41","2,387.51"
01/29/2024,"AMZN DIGITAL*R01H 01/27 PURCHASE XXXXX61072 WA","-21.66","2,365.85"
02/01/2024,"EDFINITY.COM 01/31 PURCHASE XXXXX46291 CA","-4.99","2,360.86"
02/05/2024,"BKOFAMERICA ATM 02/05 #XXXXX6740 DEPOSIT COOPER ARLINGTON TX","3,960.00","6,320.86"
02/05/2024,"AMZN DIGITAL*RB1C 02/03 PURCHASE XXXXX61072 WA","-21.66","6,299.20"
02/05/2024,"DAVES HOT CHICKEN 02/04 PURCHASE ARLINGTON TX","-16.23","6,282.97"
02/05/2024,"WAL Wal-Mart S 02/05 PURCHASE ARLINGTON TX","-26.36","6,256.61"
02/06/2024,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB","-5,000.00","1,256.61"
02/07/2024,"UTA BOOKSTORE #81 02/05 MOBILE PURCHASE ARLINGTON TX","-1.79","1,254.82"
02/09/2024,"10402 CAVA CHAMPI 02/08 MOBILE PURCHASE ARLINGTON TX","-13.80","1,241.02"
02/12/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-30.47","1,210.55"
02/13/2024,"SP WATC STUDIO 02/12 PURCHASE BARCELOS 00","-135.20","1,075.35"
02/13/2024,"INTERNATIONAL TRANSACTION FEE 02/12 SP WATC STUDIO BARCELOS 00","-4.06","1,071.29"
02/16/2024,"Zelle payment to Devon Dang Conf# hyfd09w6z","-18.00","1,053.29"
02/20/2024,"BKOFAMERICA ATM 02/19 #XXXXX1261 DEPOSIT COOPER ARLINGTON TX","760.00","1,813.29"
02/20/2024,"Amazon.com*RI81Q4 02/17 PURCHASE Amzn.com/bill WA","-33.48","1,779.81"
02/20/2024,"AMZN Mktp US*RI61 02/17 PURCHASE XXXXX61072 WA","-7.46","1,772.35"
02/20/2024,"NST BEST BUY # 02/19 MOBILE PURCHASE ARLINGTON TX","-21.64","1,750.71"
02/20/2024,"AMZN Mktp US*RW60 02/19 PURCHASE XXXXX61072 WA","-10.81","1,739.90"
02/21/2024,"MURPHY EXPRESS 02/21 PURCHASE ARLINGTON TX","-31.68","1,708.22"
02/22/2024,"BEST BUY MHT 000 02/21 REFUND ARLINGTON TX","21.64","1,729.86"
02/22/2024,"APPLE.COM/BILL 02/21 PURCHASE XXXXX27753 CA","-0.99","1,728.87"
02/27/2024,"Nike.com 02/25 PURCHASE XXXXX06645 CA","-89.30","1,639.57"
02/29/2024,"MCDONALD'S F945 02/28 MOBILE PURCHASE ARLINGTON TX","-8.10","1,631.47"
03/04/2024,"BKOFAMERICA ATM 03/04 #XXXXX9368 DEPOSIT COOPER ARLINGTON TX","150.00","1,781.47"
03/04/2024,"Zelle payment from JASON NGUYEN Conf# cgnf2gpj8","20.00","1,801.47"
03/04/2024,"PANDA EXPRESS 128 03/03 PURCHASE ARLINGTON TX","-19.59","1,781.88"
03/05/2024,"Zelle payment to Truc An Conf# b9lksosph","-7.00","1,774.88"
03/08/2024,"CHIPOTLE 0792 03/07 MOBILE PURCHASE ARLINGTON TX","-9.31","1,765.57"
03/11/2024,"Birkenstock 03/09 PURCHASE XXXXX72475 CA","-173.20","1,592.37"
03/11/2024,"TOUCH OF TOAST 03/10 MOBILE PURCHASE NORTHLAKE TX","-21.99","1,570.38"
03/11/2024,"Zelle payment to Devon Dang Conf# cggi5r57r","-14.00","1,556.38"
03/13/2024,"Zelle payment from LONG BAO NGUYEN for "Flag player pass"; Conf# 99abf3ykf","10.00","1,566.38"
03/13/2024,"WM SUPERCENTER 03/13 PURCHASE ARLINGTON TX","-21.62","1,544.76"
03/14/2024,"TARGET T- 1600 03/14 PURCHASE Arlington TX","-8.65","1,536.11"
03/15/2024,"Upside DES:Upside ID: I4N5WBGB2 INDN:Vincent Tran CO ID:XXXXX0567 PPD","15.29","1,551.40"
03/15/2024,"UTA MAC TM 03/13 PURCHASE XXXXX21541 TX","-10.00","1,541.40"
03/15/2024,"SQ *EL CHINGONCUT 03/14 PURCHASE ARLINGTON TX","-42.00","1,499.40"
03/18/2024,"AMZN DIGITAL*R64N 03/16 PURCHASE XXXXX61072 WA","-21.66","1,477.74"
03/19/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-33.96","1,443.78"
03/21/2024,"Zelle payment to Tien Le Conf# grh05fs4i","-50.00","1,393.78"
03/22/2024,"APPLE.COM/BILL 03/21 PURCHASE XXXXX27753 CA","-0.99","1,392.79"
03/22/2024,"7-ELEVEN 38324 03/22 PURCHASE ARLINGTON TX","-38.03","1,354.76"
03/22/2024,"Zelle payment to Hoa Hoang Conf# bk5q4sh0f","-31.00","1,323.76"
03/25/2024,"DINGTEA OF ARLING 03/21 MOBILE PURCHASE ARLINGTON TX","-14.32","1,309.44"
03/25/2024,"WICKED SNOW 03/22 MOBILE PURCHASE CARROLLTON TX","-17.37","1,292.07"
04/01/2024,"AMZN Mktp US*4S76 03/29 PURCHASE XXXXX61072 WA","-7.56","1,284.51"
04/01/2024,"WINGSTOP 03/29 MOBILE PURCHASE ARLINGTON TX","-14.93","1,269.58"
04/01/2024,"AMZN DIGITAL*927Q 03/30 PURCHASE XXXXX61072 WA","-21.66","1,247.92"
04/03/2024,"CHICK-FIL-A # 01 04/01 MOBILE PURCHASE ARLINGTON TX","-11.20","1,236.72"
04/03/2024,"Zelle payment to Anthony Nguyen Conf# gpff5h6fm","-15.00","1,221.72"
04/05/2024,"WINGSTOP 04/03 MOBILE PURCHASE ARLINGTON TX","-12.55","1,209.17"
04/08/2024,"210 BRAUMS STORE 04/05 MOBILE PURCHASE ARLINGTON TX","-1.94","1,207.23"
04/08/2024,"AMZN DIGITAL*4F4N 04/06 PURCHASE XXXXX61072 WA","-10.83","1,196.40"
04/08/2024,"AMZN DIGITAL*IT3S 04/07 PURCHASE XXXXX61072 WA","-10.83","1,185.57"
04/08/2024,"Zelle payment to Caleb Ventura Conf# fznmwprus","-13.00","1,172.57"
04/09/2024,"TRANSFER VINCENT THE TRAN:Mega Apparel Confirmation# XXXXX61260","-150.00","1,022.57"
04/09/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-35.05","987.52"
04/11/2024,"CHIPOTLE 0792 04/10 MOBILE PURCHASE ARLINGTON TX","-9.31","978.21"
04/12/2024,"MCDONALD'S F945 04/11 PURCHASE ARLINGTON TX","-7.44","970.77"
04/17/2024,"Zelle payment to Truc An Conf# dl7awr9wl","-7.00","963.77"
04/18/2024,"10402 CAVA CHAMPI 04/17 MOBILE PURCHASE ARLINGTON TX","-0.16","963.61"
04/22/2024,"AMZN DIGITAL*A904 04/20 PURCHASE XXXXX61072 WA","-21.66","941.95"
04/22/2024,"WAL Wal-Mart S 04/21 PURCHASE ARLINGTON TX","-33.70","908.25"
04/22/2024,"APPLE.COM/BILL 04/22 PURCHASE XXXXX27753 CA","-0.99","907.26"
04/23/2024,"MURPHY EXPRESS 04/23 MOBILE PURCHASE ARLINGTON TX","-37.61","869.65"
04/25/2024,"ORACL*WAFFLE HOUS 04/24 MOBILE PURCHASE Arlington TX","-10.75","858.90"
05/01/2024,"Zelle payment to Paul Do Conf# g9zcibmf8","-24.68","834.22"
05/01/2024,"Zelle payment to Truc An Conf# i8s2dw7ba","-6.00","828.22"
05/02/2024,"85C BAKERY CAFE G 05/01 MOBILE PURCHASE GRAND PRAIRIE TX","-5.47","822.75"
05/03/2024,"Zelle payment to Truc An Conf# hdtcs78og","-6.00","816.75"
05/06/2024,"AMZN DIGITAL*HW2D 05/04 PURCHASE XXXXX61072 WA","-21.66","795.09"
05/06/2024,"Zelle payment to Truc An Conf# hghx4tc14","-6.00","789.09"
05/08/2024,"UTA BOOKSTORE #81 05/06 MOBILE PURCHASE ARLINGTON TX","-0.50","788.59"
05/08/2024,"TARGET 000 05/07 PURCHASE ARLINGTON TX","-8.65","779.94"
