Description,,Summary Amt.
Beginning balance as of 11/17/2022,,"8,323.28"
Total credits,,"13,777.27"
Total debits,,"-21,444.77"
Ending balance as of 05/17/2024,,"655.78"

Date,Description,Amount,Running_Bal
06/05/2023,"AMZN DIGITAL*N23X 06/03 PURCHASE 888-802-3080 WA","-21.66","7,396.52"
06/09/2023,"Zelle Transfer Conf# 999xqfar7; NIKOLAS K NGUYEN","5.00","7,401.52"
06/12/2023,"UTA ARL MYMAV 06/10 PURCHASE XXXXX22172 TX","-453.99","6,947.53"
06/20/2023,"AMZN DIGITAL*FC82 06/17 PURCHASE XXXXX61072 WA","-21.66","6,925.87"
06/22/2023,"APPLE.COM/BILL 06/21 PURCHASE XXXXX27753 CA","-0.99","6,924.88"
06/26/2023,"AMZN DIGITAL*M57N 06/24 PURCHASE XXXXX61072 WA","-21.66","6,903.22"
07/03/2023,"AMZN DIGITAL*OU7D 07/01 PURCHASE XXXXX61072 WA","-21.66","6,881.56"
07/10/2023,"MURPHY EXPRESS 07/08 PURCHASE ARLINGTON TX","-31.13","6,850.43"
07/10/2023,"AMZN DIGITAL*HP65 07/08 PURCHASE XXXXX61072 WA","-21.66","6,828.77"
07/12/2023,"WM SUPERCENTER 07/12 PURCHASE ARLINGTON TX","-33.50","6,795.27"
07/17/2023,"AMZN DIGITAL*9M51 07/15 PURCHASE XXXXX61072 WA","-21.66","6,773.61"
07/24/2023,"APPLE.COM/BILL 07/21 PURCHASE XXXXX27753 CA","-0.99","6,772.62"
07/31/2023,"MCDONALD'S F10832 07/30 PURCHASE ARLINGTON TX","-8.95","6,763.67"
08/09/2023,"RAISING CANES 009 08/07 PURCHASE ARLINGTON TX","-9.95","6,753.72"
08/14/2023,"AMZN DIGITAL*TO98 08/12 PURCHASE XXXXX61072 WA","-21.66","6,732.06"
08/14/2023,"WHATABURGER 563 08/13 PURCHASE ARLINGTON TX","-11.46","6,720.60"
08/15/2023,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX83473 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","1,046.75","7,767.35"
08/15/2023,"MURPHY EXPRESS 08/15 PURCHASE ARLINGTON TX","-36.18","7,731.17"
08/16/2023,"NINJARAMENANDROYA 08/14 PURCHASE ARLINGTON TX","-6.50","7,724.67"
08/17/2023,"UTA PARK TRANS MA 08/15 PURCHASE ARLINGTON TX","-234.00","7,490.67"
08/21/2023,"AMZN DIGITAL*TQ1S 08/19 PURCHASE XXXXX61072 WA","-21.66","7,469.01"
08/21/2023,"MCDONALD'S F5467 08/20 PURCHASE ARLINGTON TX","-8.09","7,460.92"
08/22/2023,"APPLE.COM/BILL 08/21 PURCHASE XXXXX27753 CA","-0.99","7,459.93"
08/23/2023,"RAISING CANES 009 08/22 PURCHASE ARLINGTON TX","-9.11","7,450.82"
08/24/2023,"Zelle payment from DEVON DANG Conf# 99a153ikg","33.00","7,483.82"
08/24/2023,"EXPRT TA COL HOME 08/22 PURCHASE XXXXX09876 TN","-75.00","7,408.82"
08/24/2023,"UTA BOOKSTORE #81 08/23 PURCHASE XXXXX15151 IL","-47.59","7,361.23"
08/28/2023,"BON K BBQ 08/24 PURCHASE ARLINGTON TX","-66.27","7,294.96"
08/30/2023,"SQ *KONA ICE ARLI 08/29 MOBILE PURCHASE Arlington TX","-10.82","7,284.14"
08/30/2023,"CHICKEN EXPRESS ( 08/29 PURCHASE ARLINGTON TX","-23.79","7,260.35"
08/31/2023,"Cash App DES:* Cash App ID:T3DP243CF5EEXKP INDN:Vincent Tran CO ID:XXXXX29876 PPD","154.82","7,415.17"
09/05/2023,"AMZN DIGITAL*TL1O 09/02 PURCHASE XXXXX61072 WA","-21.66","7,393.51"
09/06/2023,"CHIPOTLE 0792 09/05 MOBILE PURCHASE ARLINGTON TX","-8.98","7,384.53"
09/06/2023,"7-ELEVEN 38324 09/06 PURCHASE ARLINGTON TX","-36.97","7,347.56"
09/18/2023,"Zelle payment from JASON NGUYEN for "Canes"; Conf# eojx2qf7h","10.00","7,357.56"
09/18/2023,"HAPPY LEMON - ARL 09/15 MOBILE PURCHASE ARLINGTON TX","-6.22","7,351.34"
09/18/2023,"AMZN DIGITAL*TX4M 09/16 PURCHASE XXXXX61072 WA","-10.83","7,340.51"
09/18/2023,"RAISING CANES 009 09/17 PURCHASE ARLINGTON TX","-15.82","7,324.69"
09/19/2023,"MCDONALD'S F945 09/18 MOBILE PURCHASE ARLINGTON TX","-11.66","7,313.03"
09/21/2023,"Upside DES:Upside ID: I9X7EV98M INDN:Vincent Tran CO ID:XXXXX0567 PPD","24.32","7,337.35"
09/22/2023,"APPLE.COM/BILL 09/21 PURCHASE XXXXX27753 CA","-0.99","7,336.36"
09/25/2023,"7-ELEVEN 38324 09/23 PURCHASE ARLINGTON TX","-36.35","7,300.01"
09/25/2023,"AMZN DIGITAL*T15N 09/23 PURCHASE XXXXX61072 WA","-10.83","7,289.18"
09/28/2023,"UTA ARL MYMAV 09/26 PURCHASE XXXXX22172 TX","-76.69","7,212.49"
09/29/2023,"UTA MAC TM 09/27 PURCHASE XXXXX21541 TX","-10.00","7,202.49"
10/02/2023,"Zelle payment to Long Conf# guy2ckejk","-37.00","7,165.49"
10/03/2023,"PIRANHA KILLER RA 10/01 PURCHASE ARLINGTON TX","-23.15","7,142.34"
10/04/2023,"Upside DES:Upside ID: I4KL57W2J INDN:Vincent Tran CO ID:XXXXX0567 PPD","14.99","7,157.33"
10/10/2023,"Zelle payment to Cong Tran Conf# cnj6f31ym","-15.00","7,142.33"
10/10/2023,"AMZN DIGITAL*TE7N 10/07 PURCHASE XXXXX61072 WA","-21.66","7,120.67"
10/10/2023,"7-ELEVEN 38324 10/08 PURCHASE ARLINGTON TX","-34.13","7,086.54"
10/16/2023,"MCDONALD'S F94 10/16 MOBILE PURCHASE ARLINGTON TX","-14.14","7,072.40"
10/19/2023,"Zelle payment from KENNY T VI Conf# 99a3so2h1","20.00","7,092.40"
10/23/2023,"APPLE.COM/BILL 10/21 PURCHASE XXXXX27753 CA","-0.99","7,091.41"
10/23/2023,"AMZN DIGITAL*VR3F 10/21 PURCHASE XXXXX61072 WA","-21.66","7,069.75"
10/24/2023,"BA LE RESTAURANT 10/22 PURCHASE ARLINGTON TX","-7.80","7,061.95"
10/26/2023,"Upside DES:Upside ID: I9XK7VLPG INDN:Vincent Tran CO ID:XXXXX0567 PPD","14.28","7,076.23"
10/27/2023,"Zara.com 10/25 PURCHASE XXXXX51415 NY","-103.71","6,972.52"
10/27/2023,"WAL Wal-Mart S 10/27 PURCHASE ARLINGTON TX","-29.21","6,943.31"
10/30/2023,"7-ELEVEN 38324 10/28 PURCHASE ARLINGTON TX","-32.19","6,911.12"
10/31/2023,"MCDONALD'S F945 10/30 MOBILE PURCHASE ARLINGTON TX","-10.25","6,900.87"
11/06/2023,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB","-5,000.00","1,900.87"
11/06/2023,"DISCOVER BANK DES:SECUR DPST ID:3186 INDN:XXXXXXXXXX58950WEB6 CO ID:XXXXX20270 WEB","-200.00","1,700.87"
11/07/2023,"MCDONALD'S F945 11/06 MOBILE PURCHASE ARLINGTON TX","-7.98","1,692.89"
11/09/2023,"WAL Wal-Mart S 11/09 PURCHASE ARLINGTON TX","-4.85","1,688.04"
11/13/2023,"AMZN DIGITAL*OG00 11/11 PURCHASE XXXXX61072 WA","-21.66","1,666.38"
11/14/2023,"Zelle payment to Tien Le Conf# hv4ohanel","-33.00","1,633.38"
11/20/2023,"AMZN DIGITAL*1F9Q 11/18 PURCHASE XXXXX61072 WA","-21.66","1,611.72"
11/21/2023,"APPLE.COM/BILL 11/21 PURCHASE XXXXX27753 CA","-0.99","1,610.73"
11/28/2023,"Upside DES:Upside ID: IEV6E6KPV INDN:Vincent Tran CO ID:XXXXX0567 PPD","27.60","1,638.33"
12/01/2023,"BON K BBQ 11/29 PURCHASE ARLINGTON TX","-22.56","1,615.77"
12/04/2023,"WL *STEAM PURCHAS 12/01 PURCHASE XXXXX99642 WA","-10.81","1,604.96"
12/04/2023,"AMZN DIGITAL*0H52 12/02 PURCHASE XXXXX61072 WA","-21.66","1,583.30"
12/04/2023,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-29.54","1,553.76"
12/11/2023,"AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA","-21.66","1,532.10"
12/19/2023,"ORACL*WAFFLE HOUS 12/19 MOBILE PURCHASE Arlington TX","-11.75","1,520.35"
12/20/2023,"WM SUPERCENTER 12/20 PURCHASE ARLINGTON TX","-12.73","1,507.62"
12/21/2023,"APPLE.COM/BILL 12/21 PURCHASE XXXXX27753 CA","-0.99","1,506.63"
12/21/2023,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-26.58","1,480.05"
12/22/2023,"WHATABURGER 563 12/20 MOBILE PURCHASE ARLINGTON TX","-10.27","1,469.78"
01/09/2024,"MUSINSA 01/09 PURCHASE Tokyo 00","-43.00","1,426.78"
01/10/2024,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX66757 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","1,105.75","2,532.53"
01/16/2024,"Zelle payment from JASON NGUYEN Conf# b1wf7jd15","10.00","2,542.53"
01/16/2024,"AMZN DIGITAL*RT4T 01/13 PURCHASE XXXXX61072 WA","-21.66","2,520.87"
01/17/2024,"MCDONALD'S F945 01/16 PURCHASE ARLINGTON TX","-7.33","2,513.54"
01/17/2024,"EDFINITY.COM 01/17 PURCHASE XXXXX46291 CA","-29.00","2,484.54"
01/22/2024,"APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA","-0.99","2,483.55"
01/22/2024,"AMZN DIGITAL*R08F 01/20 PURCHASE XXXXX61072 WA","-21.66","2,461.89"
01/23/2024,"MCDONALD'S F945 01/22 MOBILE PURCHASE ARLINGTON TX","-8.63","2,453.26"
01/23/2024,"QT 880 01/22 MOBILE PURCHASE ARLINGTON TX","-32.40","2,420.86"
01/23/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-17.13","2,403.73"
01/24/2024,"APPLE COM BILL 01/24 PURCHASE CUPERTINO CA","-10.81","2,392.92"
01/29/2024,"TACO BELL 735428 01/26 PURCHASE XXXXX78042 TX","-5.41","2,387.51"
01/29/2024,"AMZN DIGITAL*R01H 01/27 PURCHASE XXXXX61072 WA","-21.66","2,365.85"
02/01/2024,"EDFINITY.COM 01/31 PURCHASE XXXXX46291 CA","-4.99","2,360.86"
02/05/2024,"BKOFAMERICA ATM 02/05 #XXXXX6740 DEPOSIT COOPER ARLINGTON TX","3,960.00","6,320.86"
02/05/2024,"AMZN DIGITAL*RB1C 02/03 PURCHASE XXXXX61072 WA","-21.66","6,299.20"
02/05/2024,"DAVES HOT CHICKEN 02/04 PURCHASE ARLINGTON TX","-16.23","6,282.97"
02/05/2024,"WAL Wal-Mart S 02/05 PURCHASE ARLINGTON TX","-26.36","6,256.61"
02/06/2024,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB","-5,000.00","1,256.61"
02/07/2024,"UTA BOOKSTORE #81 02/05 MOBILE PURCHASE ARLINGTON TX","-1.79","1,254.82"
02/09/2024,"10402 CAVA CHAMPI 02/08 MOBILE PURCHASE ARLINGTON TX","-13.80","1,241.02"
02/12/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-30.47","1,210.55"
02/13/2024,"SP WATC STUDIO 02/12 PURCHASE BARCELOS 00","-135.20","1,075.35"
02/13/2024,"INTERNATIONAL TRANSACTION FEE 02/12 SP WATC STUDIO BARCELOS 00","-4.06","1,071.29"
02/16/2024,"Zelle payment to Devon Dang Conf# hyfd09w6z","-18.00","1,053.29"
02/20/2024,"BKOFAMERICA ATM 02/19 #XXXXX1261 DEPOSIT COOPER ARLINGTON TX","760.00","1,813.29"
02/20/2024,"Amazon.com*RI81Q4 02/17 PURCHASE Amzn.com/bill WA","-33.48","1,779.81"
02/20/2024,"AMZN Mktp US*RI61 02/17 PURCHASE XXXXX61072 WA","-7.46","1,772.35"
02/20/2024,"NST BEST BUY # 02/19 MOBILE PURCHASE ARLINGTON TX","-21.64","1,750.71"
02/20/2024,"AMZN Mktp US*RW60 02/19 PURCHASE XXXXX61072 WA","-10.81","1,739.90"
02/21/2024,"MURPHY EXPRESS 02/21 PURCHASE ARLINGTON TX","-31.68","1,708.22"
02/22/2024,"BEST BUY MHT 000 02/21 REFUND ARLINGTON TX","21.64","1,729.86"
02/22/2024,"APPLE.COM/BILL 02/21 PURCHASE XXXXX27753 CA","-0.99","1,728.87"
02/27/2024,"Nike.com 02/25 PURCHASE XXXXX06645 CA","-89.30","1,639.57"
02/29/2024,"MCDONALD'S F945 02/28 MOBILE PURCHASE ARLINGTON TX","-8.10","1,631.47"
03/04/2024,"BKOFAMERICA ATM 03/04 #XXXXX9368 DEPOSIT COOPER ARLINGTON TX","150.00","1,781.47"
03/04/2024,"Zelle payment from JASON NGUYEN Conf# cgnf2gpj8","20.00","1,801.47"
03/04/2024,"PANDA EXPRESS 128 03/03 PURCHASE ARLINGTON TX","-19.59","1,781.88"
03/05/2024,"Zelle payment to Truc An Conf# b9lksosph","-7.00","1,774.88"
03/08/2024,"CHIPOTLE 0792 03/07 MOBILE PURCHASE ARLINGTON TX","-9.31","1,765.57"
03/11/2024,"Birkenstock 03/09 PURCHASE XXXXX72475 CA","-173.20","1,592.37"
03/11/2024,"TOUCH OF TOAST 03/10 MOBILE PURCHASE NORTHLAKE TX","-21.99","1,570.38"
03/11/2024,"Zelle payment to Devon Dang Conf# cggi5r57r","-14.00","1,556.38"
03/13/2024,"Zelle payment from LONG BAO NGUYEN for "Flag player pass"; Conf# 99abf3ykf","10.00","1,566.38"
03/13/2024,"WM SUPERCENTER 03/13 PURCHASE ARLINGTON TX","-21.62","1,544.76"
03/14/2024,"TARGET T- 1600 03/14 PURCHASE Arlington TX","-8.65","1,536.11"
03/15/2024,"Upside DES:Upside ID: I4N5WBGB2 INDN:Vincent Tran CO ID:XXXXX0567 PPD","15.29","1,551.40"
03/15/2024,"UTA MAC TM 03/13 PURCHASE XXXXX21541 TX","-10.00","1,541.40"
03/15/2024,"SQ *EL CHINGONCUT 03/14 PURCHASE ARLINGTON TX","-42.00","1,499.40"
03/18/2024,"AMZN DIGITAL*R64N 03/16 PURCHASE XXXXX61072 WA","-21.66","1,477.74"
03/19/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-33.96","1,443.78"
03/21/2024,"Zelle payment to Tien Le Conf# grh05fs4i","-50.00","1,393.78"
04/23/2024,"MURPHY EXPRESS 04/23 MOBILE PURCHASE ARLINGTON TX","-37.61","869.65"
04/25/2024,"ORACL*WAFFLE HOUS 04/24 MOBILE PURCHASE Arlington TX","-10.75","858.90"
05/01/2024,"Zelle payment to Paul Do Conf# g9zcibmf8","-24.68","834.22"
05/01/2024,"Zelle payment to Truc An Conf# i8s2dw7ba","-6.00","828.22"
05/02/2024,"85C BAKERY CAFE G 05/01 MOBILE PURCHASE GRAND PRAIRIE TX","-5.47","822.75"
05/03/2024,"Zelle payment to Truc An Conf# hdtcs78og","-6.00","816.75"
05/06/2024,"AMZN DIGITAL*HW2D 05/04 PURCHASE XXXXX61072 WA","-21.66","795.09"
05/06/2024,"Zelle payment to Truc An Conf# hghx4tc14","-6.00","789.09"
05/08/2024,"UTA BOOKSTORE #81 05/06 MOBILE PURCHASE ARLINGTON TX","-0.50","788.59"
05/08/2024,"TARGET 000 05/07 PURCHASE ARLINGTON TX","-8.65","779.94"
05/13/2024,"AMZN DIGITAL*0313 05/11 PURCHASE XXXXX61072 WA","-21.66","758.28"
05/14/2024,"Zelle payment to Truc An Conf# cdmpb5gof","-3.00","755.28"
05/15/2024,"10402 CAVA CHAMPI 05/14 MOBILE PURCHASE ARLINGTON TX","-15.59","739.69"
05/15/2024,"FRONTIER 05/14 PURCHASE XXXXX44390 CO","-190.96","548.73"
05/15/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-38.46","510.27"
05/16/2024,"Zelle payment from JASON NGUYEN Conf# fej7lpt5s","300.00","810.27"
05/16/2024,"Alibaba.com 05/16 PURCHASE XXXXX55580 CA","-154.49","655.78"
12/11/2023,AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA,-21.66,"1,532.10"
12/19/2023,CHICKEN N PICKLE 12/19 MOBILE PURCHASE Dallas TX,-13.50,"1,518.60"
12/20/2023,TARGET 12/20 PURCHASE DALLAS TX,-45.00,"1,473.60"
12/21/2023,SPOTIFY.COM 12/21 PURCHASE XXXXX12345 NY,-9.99,"1,463.61"
12/21/2023,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-26.58,"1,437.03"
12/22/2023,PANDA EXPRESS 12/20 MOBILE PURCHASE IRVING TX,-10.80,"1,426.23"
01/09/2024,ZARA 01/09 PURCHASE New York NY,-78.00,"1,348.23"
01/16/2024,Zelle payment from LAURA JOHNSON Conf# c2xw8tk18,20.00,"2,574.98"
01/16/2024,URBAN OUTFITTERS 01/13 PURCHASE XXXXX61072 PA,-54.75,"2,520.23"
01/17/2024,BURGER KING 01/16 PURCHASE HOUSTON TX,-9.15,"2,511.08"
01/17/2024,GAP 01/17 PURCHASE XXXXX46291 CA,-60.00,"2,451.08"
01/22/2024,APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA,-0.99,"2,450.09"
01/22/2024,NORDSTROM 01/20 PURCHASE XXXXX61072 WA,-95.00,"2,355.09"
01/23/2024,SUBWAY 01/22 MOBILE PURCHASE IRVING TX,-8.50,"2,346.59"
01/23/2024,QT 880 01/22 MOBILE PURCHASE DALLAS TX,-32.40,"2,314.19"
01/24/2024,PEETS COFFEE 01/23 PURCHASE SAN FRANCISCO CA,-6.75,"2,307.44"
01/25/2024,BEST BUY 01/24 PURCHASE LOS ANGELES CA,-127.45,"2,179.99"
01/26/2024,UBER EATS 01/25 PURCHASE SAN JOSE CA,-24.90,"2,155.09"
01/27/2024,LYFT RIDE 01/26 PURCHASE SAN FRANCISCO CA,-20.50,"2,134.59"
01/28/2024,ASOS.COM 01/27 PURCHASE XXXXX61072 WA,-48.99,"2,085.60"
01/29/2024,TACO BELL 01/28 MOBILE PURCHASE AUSTIN TX,-11.27,"2,074.33"
01/30/2024,H&M 01/29 PURCHASE LOS ANGELES CA,-88.50,"1,985.83"
01/31/2024,VENMO PAYMENT TO SarahDoe CONF# b4f5t8u,-75.00,"1,910.83"
02/01/2024,PAYPAL *RETAILER 02/01 PURCHASE XXXXX4321 CA,-15.00,"1,895.83"
02/02/2024,Zelle payment from MICHAEL LEE Conf# f3jk4lm2,30.00,"1,925.83"
02/03/2024,NETFLIX.COM 02/02 PURCHASE XXXXX45678 CA,-12.99,"1,912.84"
02/04/2024,AMZN DIGITAL*RT4T 02/03 PURCHASE XXXXX61072 WA,-21.66,"1,891.18"
02/05/2024,STARBUCKS 02/04 PURCHASE BOSTON MA,-6.85,"1,884.33"
02/06/2024,HOME DEPOT 02/05 PURCHASE MIAMI FL,-75.25,"1,809.08"
02/07/2024,CHIPOTLE 02/06 PURCHASE ATLANTA GA,-12.25,"1,796.83"
02/08/2024,BLUE BOTTLE COFFEE 02/07 PURCHASE NEW YORK NY,-11.75,"1,785.08"
02/09/2024,COSTCO WHOLESALE 02/08 PURCHASE HOUSTON TX,-105.50,"1,679.58"
02/10/2024,AMZN DIGITAL*P21T 02/09 PURCHASE XXXXX61072 WA,-21.66,"1,657.92"
02/11/2024,OLIVE GARDEN 02/10 PURCHASE AUSTIN TX,-35.49,"1,622.43"
02/12/2024,PRIME VIDEO 02/11 PURCHASE XXXXX98765 CA,-12.99,"1,609.44"
02/13/2024,UBER RIDE 02/12 PURCHASE SAN JOSE CA,-18.80,"1,590.64"
02/14/2024,EBAY PURCHASE 02/13 PURCHASE XXXXX87654 TX,-42.99,"1,547.65"
02/15/2024,KROGER 02/14 PURCHASE CHICAGO IL,-63.75,"1,483.90"
02/16/2024,Zelle payment from LINDA WILLIAMS Conf# k9lg8mj4,50.00,"1,533.90"
02/17/2024,EBAY PURCHASE 02/16 PURCHASE XXXXX4321 CA,-37.50,"1,496.40"
02/18/2024,AMZN DIGITAL*RT4T 02/17 PURCHASE XXXXX61072 WA,-21.66,"1,474.74"
02/19/2024,HULU.COM 02/18 PURCHASE XXXXX45678 CA,-12.99,"1,461.75"
02/20/2024,KFC 02/19 PURCHASE HOUSTON TX,-8.75,"1,453.00"
02/21/2024,UBER RIDE 02/20 PURCHASE SAN FRANCISCO CA,-17.50,"1,435.50"
02/22/2024,APPLE.COM/BILL 02/21 PURCHASE XXXXX27753 CA,-0.99,"1,434.51"
02/23/2024,WALGREENS 02/22 PURCHASE LOS ANGELES CA,-27.50,"1,407.01"
02/24/2024,DUNKIN' DONUTS 02/23 PURCHASE BOSTON MA,-7.45,"1,399.56"
02/25/2024,WALMART SUPERCENTER 02/24 PURCHASE DALLAS TX,-65.78,"1,333.78"
02/26/2024,PAYPAL *RETAILER 02/25 PURCHASE XXXXX4321 CA,-23.00,"1,310.78"
02/27/2024,LYFT RIDE 02/26 PURCHASE SAN JOSE CA,-18.50,"1,292.28"
02/28/2024,CHICK-FIL-A 02/27 PURCHASE ATLANTA GA,-9.99,"1,282.29"
02/29/2024,AMZN DIGITAL*R08F 02/28 PURCHASE XXXXX61072 WA,-21.66,"1,260.63"
03/01/2024,PEET'S COFFEE 02/29 PURCHASE BOSTON MA,-5.45,"1,255.18"
03/02/2024,LOWE'S 03/01 PURCHASE MIAMI FL,-95.25,"1,159.93"
03/03/2024,Zelle payment from RACHEL GREEN Conf# q8js5mz7,75.00,"1,234.93"
03/04/2024,WIRE TRANSFER TO BANK OF AMERICA DES:TRANSFER ID:87654321 TO ACCT:XXXXXX7890,-500.00,"734.93"
03/05/2024,TRANSFER TO SAVINGS ACCOUNT DES:TRANSFER ID:12345678 TO ACCT:XXXXXX5678,-200.00,"534.93"
03/06/2024,TRANSFER TO XYZ BUSINESS DES:PAYMENT ID:34567890 TO ACCT:XXXXXX2345,-150.00,"384.93"
12/11/2023,AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA,-21.66,"1,532.10"
12/19/2023,TACO DINER 12/19 MOBILE PURCHASE DALLAS TX,-20.50,"1,511.60"
12/20/2023,NEIMAN MARCUS 12/20 PURCHASE DALLAS TX,-129.95,"1,381.65"
12/21/2023,SPOTIFY.COM 12/21 PURCHASE XXXXX12345 NY,-9.99,"1,371.66"
12/21/2023,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-26.58,"1,345.08"
