Date,Description,Amount,Running Bal.,Category
2023-03-09,Zelle Transfer Conf# 999tvc2hn; DEVON DANG,10.0,7210.39,Finance
2023-03-13,WM SUPERCENTER 03/10 PURCHASE ARLINGTON (N) TX,-55.82,7154.57,Shopping
2023-03-13,AMZN DIGITAL*HG8F 03/11 PURCHASE 888-802-3080 WA,-21.66,7132.91,Shopping
2023-03-14,Zelle Transfer Conf# 999u2anqg; DEVON DANG,25.0,7157.91,Finance
2023-03-16,IHOP 1432 03/14 PURCHASE 763-576-3000 TX,-52.5,7105.41,Food
2023-03-20,MURPHY EXPRESS 03/20 PURCHASE ARLINGTON TX,-27.79,7077.62,Transportation
2023-03-21,APPLE.COM/BILL 03/21 PURCHASE 866-712-7753 CA,-0.99,7076.63,Shopping
2023-04-05,MURPHY EXPRESS 04/05 PURCHASE ARLINGTON TX,-32.56,7044.07,Transportation
2023-04-24,APPLE.COM/BILL 04/21 PURCHASE 866-712-7753 CA,-0.99,7043.08,Shopping
2023-04-24,UTA PARK TRANS MA 04/20 PURCHASE ARLINGTON TX,-45.0,6998.08,Transportation
2023-04-27,MURPHY EXPRESS 04/27 PURCHASE ARLINGTON TX,-30.61,6967.47,Transportation
2023-05-04,TARGET T- 1600 05/04 PURCHASE Arlington TX,-7.03,6960.44,Shopping
2023-05-17,Zelle Transfer Conf# T0R8MMLLQ; CUONG TRAN,500.0,7460.44,Finance
2023-05-22,APPLE.COM/BILL 05/22 PURCHASE 866-712-7753 CA,-0.99,7459.45,Shopping
2023-05-26,PORT OF SUBS 0114 05/24 PURCHASE LAS VEGAS NV,-14.08,7445.37,Food
2023-06-05,MURPHY EXPRESS 06/03 PURCHASE ARLINGTON TX,-27.19,7418.18,Transportation
2023-06-05,AMZN DIGITAL*N23X 06/03 PURCHASE 888-802-3080 WA,-21.66,7396.52,Shopping
2023-06-09,Zelle Transfer Conf# 999xqfar7; NIKOLAS K NGUYEN,5.0,7401.52,Finance
2023-06-12,UTA ARL MYMAV 06/10 PURCHASE XXXXX22172 TX,-453.99,6947.53,Finance
2023-06-20,AMZN DIGITAL*FC82 06/17 PURCHASE XXXXX61072 WA,-21.66,6925.87,Shopping
2023-06-22,APPLE.COM/BILL 06/21 PURCHASE XXXXX27753 CA,-0.99,6924.88,Shopping
2023-06-26,AMZN DIGITAL*M57N 06/24 PURCHASE XXXXX61072 WA,-21.66,6903.22,Shopping
2023-07-03,AMZN DIGITAL*OU7D 07/01 PURCHASE XXXXX61072 WA,-21.66,6881.56,Shopping
2023-07-10,MURPHY EXPRESS 07/08 PURCHASE ARLINGTON TX,-31.13,6850.43,Transportation
2023-07-10,AMZN DIGITAL*HP65 07/08 PURCHASE XXXXX61072 WA,-21.66,6828.77,Shopping
2023-07-12,WM SUPERCENTER 07/12 PURCHASE ARLINGTON TX,-33.5,6795.27,Shopping
2023-07-17,AMZN DIGITAL*9M51 07/15 PURCHASE XXXXX61072 WA,-21.66,6773.61,Shopping
2023-07-24,APPLE.COM/BILL 07/21 PURCHASE XXXXX27753 CA,-0.99,6772.62,Shopping
2023-07-31,MCDONALD'S F10832 07/30 PURCHASE ARLINGTON TX,-8.95,6763.67,Food
2023-08-09,RAISING CANES 009 08/07 PURCHASE ARLINGTON TX,-9.95,6753.72,Food
2023-08-14,AMZN DIGITAL*TO98 08/12 PURCHASE XXXXX61072 WA,-21.66,6732.06,Shopping
2023-08-14,WHATABURGER 563 08/13 PURCHASE ARLINGTON TX,-11.46,6720.6,Food
2023-08-15,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX83473 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.",1046.75,7767.35,Finance
2023-08-15,MURPHY EXPRESS 08/15 PURCHASE ARLINGTON TX,-36.18,7731.17,Transportation
2023-08-16,NINJARAMENANDROYA 08/14 PURCHASE ARLINGTON TX,-6.5,7724.67,Food
2023-08-17,UTA PARK TRANS MA 08/15 PURCHASE ARLINGTON TX,-234.0,7490.67,Transportation
2023-08-21,AMZN DIGITAL*TQ1S 08/19 PURCHASE XXXXX61072 WA,-21.66,7469.01,Shopping
2023-08-21,MCDONALD'S F5467 08/20 PURCHASE ARLINGTON TX,-8.09,7460.92,Food
2023-08-22,APPLE.COM/BILL 08/21 PURCHASE XXXXX27753 CA,-0.99,7459.93,Shopping
2023-08-23,RAISING CANES 009 08/22 PURCHASE ARLINGTON TX,-9.11,7450.82,Food
2023-08-24,Zelle payment from DEVON DANG Conf# 99a153ikg,33.0,7483.82,Misc
2023-08-24,EXPRT TA COL HOME 08/22 PURCHASE XXXXX09876 TN,-75.0,7408.82,Misc
2023-08-24,UTA BOOKSTORE #81 08/23 PURCHASE XXXXX15151 IL,-47.59,7361.23,Shopping
2023-08-28,BON K BBQ 08/24 PURCHASE ARLINGTON TX,-66.27,7294.96,Food
2023-08-30,SQ *KONA ICE ARLI 08/29 MOBILE PURCHASE Arlington TX,-10.82,7284.14,Food
2023-08-30,CHICKEN EXPRESS ( 08/29 PURCHASE ARLINGTON TX,-23.79,7260.35,Food
2023-08-31,Cash App DES:* Cash App ID:T3DP243CF5EEXKP INDN:Vincent Tran CO ID:XXXXX29876 PPD,154.82,7415.17,Finance
2023-09-05,AMZN DIGITAL*TL1O 09/02 PURCHASE XXXXX61072 WA,-21.66,7393.51,Shopping
2023-09-06,CHIPOTLE 0792 09/05 MOBILE PURCHASE ARLINGTON TX,-8.98,7384.53,Food
2023-09-06,7-ELEVEN 38324 09/06 PURCHASE ARLINGTON TX,-36.97,7347.56,Transportation
2023-09-18,"Zelle payment from JASON NGUYEN for Canes""; Conf# eojx2qf7h""",10.0,7357.56,Misc
2023-09-18,HAPPY LEMON - ARL 09/15 MOBILE PURCHASE ARLINGTON TX,-6.22,7351.34,Food
2023-09-18,AMZN DIGITAL*TX4M 09/16 PURCHASE XXXXX61072 WA,-10.83,7340.51,Shopping
2023-09-18,RAISING CANES 009 09/17 PURCHASE ARLINGTON TX,-15.82,7324.69,Food
2023-09-19,MCDONALD'S F945 09/18 MOBILE PURCHASE ARLINGTON TX,-11.66,7313.03,Food
2023-09-21,Upside DES:Upside ID: I9X7EV98M INDN:Vincent Tran CO ID:XXXXX0567 PPD,24.32,7337.35,Transportation
2023-09-22,APPLE.COM/BILL 09/21 PURCHASE XXXXX27753 CA,-0.99,7336.36,Shopping
2023-09-25,7-ELEVEN 38324 09/23 PURCHASE ARLINGTON TX,-36.35,7300.01,Transportation
2023-09-25,AMZN DIGITAL*T15N 09/23 PURCHASE XXXXX61072 WA,-10.83,7289.18,Shopping
2023-09-28,UTA ARL MYMAV 09/26 PURCHASE XXXXX22172 TX,-76.69,7212.49,Finance
2023-09-29,UTA MAC TM 09/27 PURCHASE XXXXX21541 TX,-10.0,7202.49,misc
2023-10-02,Zelle payment to Long Conf# guy2ckejk,-37.0,7165.49,Misc
2023-10-03,PIRANHA KILLER RA 10/01 PURCHASE ARLINGTON TX,-23.15,7142.34,Food
2023-10-04,Upside DES:Upside ID: I4KL57W2J INDN:Vincent Tran CO ID:XXXXX0567 PPD,14.99,7157.33,Transportation
2023-10-10,Zelle payment to Cong Tran Conf# cnj6f31ym,-15.0,7142.33,Misc
2023-10-10,AMZN DIGITAL*TE7N 10/07 PURCHASE XXXXX61072 WA,-21.66,7120.67,Shopping
2023-10-10,7-ELEVEN 38324 10/08 PURCHASE ARLINGTON TX,-34.13,7086.54,Transportation
2023-10-16,MCDONALD'S F94 10/16 MOBILE PURCHASE ARLINGTON TX,-14.14,7072.4,Food
2023-10-19,Zelle payment from KENNY T VI Conf# 99a3so2h1,20.0,7092.4,Misc
2023-10-23,APPLE.COM/BILL 10/21 PURCHASE XXXXX27753 CA,-0.99,7091.41,Shopping
2023-10-23,AMZN DIGITAL*VR3F 10/21 PURCHASE XXXXX61072 WA,-21.66,7069.75,Shopping
2023-10-24,BA LE RESTAURANT 10/22 PURCHASE ARLINGTON TX,-7.8,7061.95,Food
2023-10-26,Upside DES:Upside ID: I9XK7VLPG INDN:Vincent Tran CO ID:XXXXX0567 PPD,14.28,7076.23,Transportation
2023-10-27,Zara.com 10/25 PURCHASE XXXXX51415 NY,-103.71,6972.52,Shopping
2023-10-27,WAL Wal-Mart S 10/27 PURCHASE ARLINGTON TX,-29.21,6943.31,Shopping
2023-10-30,7-ELEVEN 38324 10/28 PURCHASE ARLINGTON TX,-32.19,6911.12,Transportation
2023-10-31,MCDONALD'S F945 10/30 MOBILE PURCHASE ARLINGTON TX,-10.25,6900.87,Food
2023-11-06,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB",-5000.0,1900.87,Finance
2023-11-06,DISCOVER BANK DES:SECUR DPST ID:3186 INDN:XXXXXXXXXX58950WEB6 CO ID:XXXXX20270 WEB,-200.0,1700.87,Finance
2023-11-07,MCDONALD'S F945 11/06 MOBILE PURCHASE ARLINGTON TX,-7.98,1692.89,Food
2023-11-09,WAL Wal-Mart S 11/09 PURCHASE ARLINGTON TX,-4.85,1688.04,Shopping
2023-11-13,AMZN DIGITAL*OG00 11/11 PURCHASE XXXXX61072 WA,-21.66,1666.38,Shopping
2023-11-14,Zelle payment to Tien Le Conf# hv4ohanel,-33.0,1633.38,Misc
2023-11-20,AMZN DIGITAL*1F9Q 11/18 PURCHASE XXXXX61072 WA,-21.66,1611.72,Shopping
2023-11-21,APPLE.COM/BILL 11/21 PURCHASE XXXXX27753 CA,-0.99,1610.73,Shopping
2023-11-28,Upside DES:Upside ID: IEV6E6KPV INDN:Vincent Tran CO ID:XXXXX0567 PPD,27.6,1638.33,Transportation
2023-12-01,BON K BBQ 11/29 PURCHASE ARLINGTON TX,-22.56,1615.77,Food
2023-12-04,WL *STEAM PURCHAS 12/01 PURCHASE XXXXX99642 WA,-10.81,1604.96,Shopping
2023-12-04,AMZN DIGITAL*0H52 12/02 PURCHASE XXXXX61072 WA,-21.66,1583.3,Shopping
2023-12-04,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-29.54,1553.76,Finance
2023-12-11,AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA,-21.66,1532.1,Shopping
2023-12-19,ORACL*WAFFLE HOUS 12/19 MOBILE PURCHASE Arlington TX,-11.75,1520.35,Food
2023-12-20,WM SUPERCENTER 12/20 PURCHASE ARLINGTON TX,-12.73,1507.62,Shopping
2023-12-21,APPLE.COM/BILL 12/21 PURCHASE XXXXX27753 CA,-0.99,1506.63,Shopping
2023-12-21,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-26.58,1480.05,Finance
2023-12-22,WHATABURGER 563 12/20 MOBILE PURCHASE ARLINGTON TX,-10.27,1469.78,Food
2024-01-09,MUSINSA 01/09 PURCHASE Tokyo 00,-43.0,1426.78,Shopping
2024-01-10,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX66757 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.",1105.75,2532.53,Finance
2024-01-16,Zelle payment from JASON NGUYEN Conf# b1wf7jd15,10.0,2542.53,Misc
2024-01-16,AMZN DIGITAL*RT4T 01/13 PURCHASE XXXXX61072 WA,-21.66,2520.87,Shopping
2024-01-17,MCDONALD'S F945 01/16 PURCHASE ARLINGTON TX,-7.33,2513.54,Food
2024-01-17,EDFINITY.COM 01/17 PURCHASE XXXXX46291 CA,-29.0,2484.54,Shopping
2024-01-22,APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA,-0.99,2483.55,Shopping
2024-01-22,AMZN DIGITAL*R08F 01/20 PURCHASE XXXXX61072 WA,-21.66,2461.89,Shopping
2024-01-23,MCDONALD'S F945 01/22 MOBILE PURCHASE ARLINGTON TX,-8.63,2453.26,Food
2024-01-23,QT 880 01/22 MOBILE PURCHASE ARLINGTON TX,-32.4,2420.86,Transportation
2024-01-23,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-17.13,2403.73,Finance
2024-01-24,APPLE COM BILL 01/24 PURCHASE CUPERTINO CA,-10.81,2392.92,Shopping
2024-01-29,TACO BELL 735428 01/26 PURCHASE XXXXX78042 TX,-5.41,2387.51,Food
2024-01-29,AMZN DIGITAL*R01H 01/27 PURCHASE XXXXX61072 WA,-21.66,2365.85,Shopping
2024-02-01,EDFINITY.COM 01/31 PURCHASE XXXXX46291 CA,-4.99,2360.86,Shopping
2024-02-05,BKOFAMERICA ATM 02/05 #XXXXX6740 DEPOSIT COOPER ARLINGTON TX,3960.0,6320.86,Finance
2024-02-05,AMZN DIGITAL*RB1C 02/03 PURCHASE XXXXX61072 WA,-21.66,6299.2,Shopping
2024-02-05,DAVES HOT CHICKEN 02/04 PURCHASE ARLINGTON TX,-16.23,6282.97,Food
2024-02-05,WAL Wal-Mart S 02/05 PURCHASE ARLINGTON TX,-26.36,6256.61,Shopping
2024-02-06,"GOLDMAN SACHS BA DES:COLLECTION ID:XXXXXXXXXX35132 INDN:Tran,Vincent CO ID:XXXXX85260 WEB",-5000.0,1256.61,Finance
2024-02-07,UTA BOOKSTORE #81 02/05 MOBILE PURCHASE ARLINGTON TX,-1.79,1254.82,Shopping
2024-02-09,10402 CAVA CHAMPI 02/08 MOBILE PURCHASE ARLINGTON TX,-13.8,1241.02,Food
2024-02-12,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-30.47,1210.55,Finance
2024-02-13,SP WATC STUDIO 02/12 PURCHASE BARCELOS 00,-135.2,1075.35,Shopping
2024-02-13,INTERNATIONAL TRANSACTION FEE 02/12 SP WATC STUDIO BARCELOS 00,-4.06,1071.29,Shopping
2024-02-16,Zelle payment to Devon Dang Conf# hyfd09w6z,-18.0,1053.29,Misc
2024-02-20,BKOFAMERICA ATM 02/19 #XXXXX1261 DEPOSIT COOPER ARLINGTON TX,760.0,1813.29,Finance
2024-02-20,Amazon.com*RI81Q4 02/17 PURCHASE Amzn.com/bill WA,-33.48,1779.81,Shopping
2024-02-20,AMZN Mktp US*RI61 02/17 PURCHASE XXXXX61072 WA,-7.46,1772.35,Shopping
2024-02-20,NST BEST BUY # 02/19 MOBILE PURCHASE ARLINGTON TX,-21.64,1750.71,Shopping
2024-02-20,AMZN Mktp US*RW60 02/19 PURCHASE XXXXX61072 WA,-10.81,1739.9,Shopping
2024-02-21,MURPHY EXPRESS 02/21 PURCHASE ARLINGTON TX,-31.68,1708.22,Transportation
2024-02-22,BEST BUY MHT 000 02/21 REFUND ARLINGTON TX,21.64,1729.86,Shopping
2024-02-22,APPLE.COM/BILL 02/21 PURCHASE XXXXX27753 CA,-0.99,1728.87,Shopping
2024-02-27,Nike.com 02/25 PURCHASE XXXXX06645 CA,-89.3,1639.57,Shopping
2024-02-29,MCDONALD'S F945 02/28 MOBILE PURCHASE ARLINGTON TX,-8.1,1631.47,Food
2024-03-04,BKOFAMERICA ATM 03/04 #XXXXX9368 DEPOSIT COOPER ARLINGTON TX,150.0,1781.47,Finance
2024-03-04,Zelle payment from JASON NGUYEN Conf# cgnf2gpj8,20.0,1801.47,Misc
2024-03-04,PANDA EXPRESS 128 03/03 PURCHASE ARLINGTON TX,-19.59,1781.88,Food
2024-03-05,Zelle payment to Truc An Conf# b9lksosph,-7.0,1774.88,Misc
2024-03-08,CHIPOTLE 0792 03/07 MOBILE PURCHASE ARLINGTON TX,-9.31,1765.57,Food
2024-03-11,Birkenstock 03/09 PURCHASE XXXXX72475 CA,-173.2,1592.37,Shopping
2024-03-11,TOUCH OF TOAST 03/10 MOBILE PURCHASE NORTHLAKE TX,-21.99,1570.38,Food
2024-03-11,Zelle payment to Devon Dang Conf# cggi5r57r,-14.0,1556.38,Misc
2024-03-13,"Zelle payment from LONG BAO NGUYEN for Flag player pass""; Conf# 99abf3ykf""",10.0,1566.38,Misc
2024-03-13,WM SUPERCENTER 03/13 PURCHASE ARLINGTON TX,-21.62,1544.76,Shopping
2024-03-14,TARGET T- 1600 03/14 PURCHASE Arlington TX,-8.65,1536.11,Shopping
2024-03-15,Upside DES:Upside ID: I4N5WBGB2 INDN:Vincent Tran CO ID:XXXXX0567 PPD,15.29,1551.4,Transportation
2024-03-15,UTA MAC TM 03/13 PURCHASE XXXXX21541 TX,-10.0,1541.4,misc
2024-03-15,SQ *EL CHINGONCUT 03/14 PURCHASE ARLINGTON TX,-42.0,1499.4,misc
2024-03-18,AMZN DIGITAL*R64N 03/16 PURCHASE XXXXX61072 WA,-21.66,1477.74,Shopping
2024-03-19,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-33.96,1443.78,Finance
2024-03-21,Zelle payment to Tien Le Conf# grh05fs4i,-50.0,1393.78,Misc
2024-04-23,MURPHY EXPRESS 04/23 MOBILE PURCHASE ARLINGTON TX,-37.61,869.65,Transportation
2024-04-25,ORACL*WAFFLE HOUS 04/24 MOBILE PURCHASE Arlington TX,-10.75,858.9,Food
2024-05-01,Zelle payment to Paul Do Conf# g9zcibmf8,-24.68,834.22,Misc
2024-05-01,Zelle payment to Truc An Conf# i8s2dw7ba,-6.0,828.22,Misc
2024-05-02,85C BAKERY CAFE G 05/01 MOBILE PURCHASE GRAND PRAIRIE TX,-5.47,822.75,Food
2024-05-03,Zelle payment to Truc An Conf# hdtcs78og,-6.0,816.75,Misc
2024-05-06,AMZN DIGITAL*HW2D 05/04 PURCHASE XXXXX61072 WA,-21.66,795.09,Shopping
2024-05-06,Zelle payment to Truc An Conf# hghx4tc14,-6.0,789.09,Misc
2024-05-08,UTA BOOKSTORE #81 05/06 MOBILE PURCHASE ARLINGTON TX,-0.5,788.59,Shopping
2024-05-08,TARGET 000 05/07 PURCHASE ARLINGTON TX,-8.65,779.94,Shopping
2024-05-13,AMZN DIGITAL*0313 05/11 PURCHASE XXXXX61072 WA,-21.66,758.28,Shopping
2024-05-14,Zelle payment to Truc An Conf# cdmpb5gof,-3.0,755.28,Misc
2024-05-15,10402 CAVA CHAMPI 05/14 MOBILE PURCHASE ARLINGTON TX,-15.59,739.69,Food
2024-05-15,FRONTIER 05/14 PURCHASE XXXXX44390 CO,-190.96,548.73,Transportation
2024-05-15,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-38.46,510.27,Finance
2024-05-16,Zelle payment from JASON NGUYEN Conf# fej7lpt5s,300.0,810.27,Misc
2024-05-16,Alibaba.com 05/16 PURCHASE XXXXX55580 CA,-154.49,655.78,Shopping
